@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
4429,'2025/11/05 13:11:50:504',26,0.484565,0.251574,0.62,0.44
4430,'2025/11/05 13:11:50:547',26,0.484285,0.251593,0.62,0.44
4431,'2025/11/05 13:11:50:587',26,0.484425,0.251801,0.62,0.44
4432,'2025/11/05 13:11:50:627',26,0.48429,0.25162,0.62,0.44
4433,'2025/11/05 13:11:50:669',26,0.484358,0.251416,0.62,0.44
4434,'2025/11/05 13:11:50:709',26,0.484507,0.251561,0.62,0.44
4435,'2025/11/05 13:11:50:750',26,0.484105,0.251153,0.62,0.44
4436,'2025/11/05 13:11:50:791',26,0.484267,0.251372,0.62,0.44
4437,'2025/11/05 13:11:50:833',26,0.484257,0.251095,0.62,0.44
4438,'2025/11/05 13:11:50:874',26,0.484175,0.25152,0.62,0.44
4439,'2025/11/05 13:11:50:914',26,0.484056,0.251088,0.62,0.44
4440,'2025/11/05 13:11:50:955',26,0.484086,0.250777,0.62,0.44
4441,'2025/11/05 13:11:50:996',26,0.484238,0.250567,0.62,0.44
4442,'2025/11/05 13:11:51:079',26,0.484202,0.250723,0.62,0.44
4443,'2025/11/05 13:11:51:120',26,0.484244,0.250382,0.62,0.44
4444,'2025/11/05 13:11:51:160',26,0.484586,0.250432,0.62,0.44
4445,'2025/11/05 13:11:51:201',26,0.484229,0.250497,0.62,0.44
4446,'2025/11/05 13:11:51:243',26,0.484402,0.250537,0.62,0.44
4447,'2025/11/05 13:11:51:284',26,0.48477,0.250354,0.62,0.44
4448,'2025/11/05 13:11:51:324',26,0.484412,0.250685,0.62,0.44
4449,'2025/11/05 13:11:51:364',26,0.484727,0.250437,0.62,0.44
4450,'2025/11/05 13:11:51:407',26,0.484411,0.250576,0.62,0.44
4451,'2025/11/05 13:11:51:447',26,0.484471,0.250879,0.62,0.44
4452,'2025/11/05 13:11:51:488',26,0.484317,0.250311,0.62,0.44
4453,'2025/11/05 13:11:51:530',26,0.484205,0.250306,0.62,0.44
4454,'2025/11/05 13:11:51:571',26,0.484179,0.25062,0.62,0.44
4455,'2025/11/05 13:11:51:613',26,0.484134,0.250554,0.62,0.44
4456,'2025/11/05 13:11:51:695',26,0.484268,0.250479,0.62,0.44
4457,'2025/11/05 13:11:51:734',26,0.484001,0.250522,0.62,0.44
4458,'2025/11/05 13:11:51:775',26,0.4836,0.250404,0.62,0.44
4459,'2025/11/05 13:11:51:816',26,0.483819,0.250493,0.62,0.44
4460,'2025/11/05 13:11:51:857',26,0.483938,0.250987,0.62,0.44
4461,'2025/11/05 13:11:51:898',26,0.483736,0.251414,0.62,0.44
4462,'2025/11/05 13:11:51:940',26,0.483575,0.25114,0.62,0.44
4463,'2025/11/05 13:11:51:980',26,0.48378,0.251163,0.62,0.44
4464,'2025/11/05 13:11:52:019',26,0.483683,0.25148,0.62,0.44
4465,'2025/11/05 13:11:52:060',26,0.483808,0.251095,0.62,0.44
4466,'2025/11/05 13:11:52:102',26,0.483815,0.251111,0.62,0.44
4467,'2025/11/05 13:11:52:143',26,0.483788,0.251062,0.62,0.44
4468,'2025/11/05 13:11:52:185',26,0.483945,0.251181,0.62,0.44
4469,'2025/11/05 13:11:52:269',26,0.483882,0.251396,0.62,0.44
4470,'2025/11/05 13:11:52:308',26,0.483974,0.251283,0.62,0.44
4471,'2025/11/05 13:11:52:348',26,0.483628,0.251147,0.62,0.44
4472,'2025/11/05 13:11:52:390',26,0.483959,0.251233,0.62,0.44
4473,'2025/11/05 13:11:52:432',26,0.483674,0.251347,0.62,0.44
4474,'2025/11/05 13:11:52:471',26,0.483639,0.251609,0.62,0.44
4475,'2025/11/05 13:11:52:514',26,0.483623,0.251369,0.62,0.44
4476,'2025/11/05 13:11:52:554',26,0.48387,0.251629,0.62,0.44
4477,'2025/11/05 13:11:52:595',26,0.483908,0.251467,0.62,0.44
4478,'2025/11/05 13:11:52:637',26,0.483862,0.251616,0.62,0.44
4479,'2025/11/05 13:11:52:677',26,0.483845,0.251511,0.62,0.44
4480,'2025/11/05 13:11:52:718',26,0.483949,0.251583,0.62,0.44
4481,'2025/11/05 13:11:52:757',26,0.483903,0.251281,0.62,0.44
4482,'2025/11/05 13:11:59:197',27,0.639436,0.24901,0.62,0.5
4483,'2025/11/05 13:11:59:237',27,0.638681,0.249265,0.62,0.5
4484,'2025/11/05 13:11:59:278',27,0.638035,0.249681,0.62,0.5
4485,'2025/11/05 13:11:59:320',27,0.637422,0.249975,0.62,0.5
4486,'2025/11/05 13:11:59:360',27,0.637052,0.250205,0.62,0.5
4487,'2025/11/05 13:11:59:401',27,0.636947,0.250637,0.62,0.5
4488,'2025/11/05 13:11:59:443',27,0.637105,0.25062,0.62,0.5
4489,'2025/11/05 13:11:59:484',27,0.637275,0.249194,0.62,0.5
4490,'2025/11/05 13:11:59:566',27,0.637241,0.248706,0.62,0.5
4491,'2025/11/05 13:11:59:607',27,0.636979,0.248789,0.62,0.5
4492,'2025/11/05 13:11:59:648',27,0.636701,0.248791,0.62,0.5
4493,'2025/11/05 13:11:59:688',27,0.636793,0.248934,0.62,0.5
4494,'2025/11/05 13:11:59:729',27,0.636456,0.248315,0.62,0.5
4495,'2025/11/05 13:11:59:770',27,0.636597,0.2484,0.62,0.5
4496,'2025/11/05 13:11:59:812',27,0.636617,0.248702,0.62,0.5
4497,'2025/11/05 13:11:59:852',27,0.636615,0.248432,0.62,0.5
4498,'2025/11/05 13:11:59:894',27,0.636635,0.248253,0.62,0.5
4499,'2025/11/05 13:11:59:934',27,0.637149,0.247515,0.62,0.5
4500,'2025/11/05 13:11:59:975',27,0.636996,0.247353,0.62,0.5
4501,'2025/11/05 13:12:00:017',27,0.636964,0.246932,0.62,0.5
4502,'2025/11/05 13:12:00:057',27,0.637239,0.247112,0.62,0.5
4503,'2025/11/05 13:12:00:098',27,0.637311,0.246495,0.62,0.5
4504,'2025/11/05 13:12:00:180',27,0.637176,0.246824,0.62,0.5
4505,'2025/11/05 13:12:00:221',27,0.637745,0.247055,0.62,0.5
4506,'2025/11/05 13:12:00:262',27,0.637911,0.246922,0.62,0.5
4507,'2025/11/05 13:12:00:303',27,0.637958,0.24718,0.62,0.5
4508,'2025/11/05 13:12:00:344',27,0.63833,0.246903,0.62,0.5
4509,'2025/11/05 13:12:00:385',27,0.638679,0.246061,0.62,0.5
4510,'2025/11/05 13:12:00:426',27,0.63909,0.246154,0.62,0.5
4511,'2025/11/05 13:12:00:467',27,0.639028,0.245242,0.62,0.5
4512,'2025/11/05 13:12:00:508',27,0.639531,0.245846,0.62,0.5
4513,'2025/11/05 13:12:00:550',27,0.639804,0.245836,0.62,0.5
4514,'2025/11/05 13:12:00:591',27,0.639797,0.245107,0.62,0.5
4515,'2025/11/05 13:12:00:632',27,0.639978,0.244881,0.62,0.5
4516,'2025/11/05 13:12:00:672',27,0.639765,0.245207,0.62,0.5
4517,'2025/11/05 13:12:00:714',27,0.63973,0.24493,0.62,0.5
4518,'2025/11/05 13:12:00:796',27,0.639936,0.244643,0.62,0.5
4519,'2025/11/05 13:12:00:836',27,0.63949,0.244794,0.62,0.5
4520,'2025/11/05 13:12:00:877',27,0.63929,0.244851,0.62,0.5
4521,'2025/11/05 13:12:00:918',27,0.639193,0.244213,0.62,0.5
4522,'2025/11/05 13:12:00:958',27,0.639084,0.244313,0.62,0.5
4523,'2025/11/05 13:12:01:000',27,0.63919,0.244031,0.62,0.5
4524,'2025/11/05 13:12:01:041',27,0.639097,0.244495,0.62,0.5
4525,'2025/11/05 13:12:01:083',27,0.639165,0.244721,0.62,0.5
4526,'2025/11/05 13:12:01:125',27,0.639236,0.24411,0.62,0.5
4527,'2025/11/05 13:12:01:164',27,0.63906,0.243678,0.62,0.5
4528,'2025/11/05 13:12:01:205',27,0.639363,0.243366,0.62,0.5
4529,'2025/11/05 13:12:01:245',27,0.639333,0.243566,0.62,0.5
4530,'2025/11/05 13:12:01:289',27,0.639096,0.243974,0.62,0.5
4531,'2025/11/05 13:12:01:330',27,0.639157,0.244572,0.62,0.5
4532,'2025/11/05 13:12:01:411',27,0.639487,0.244493,0.62,0.5
4533,'2025/11/05 13:12:01:451',27,0.6393,0.244479,0.62,0.5
4534,'2025/11/05 13:12:01:491',27,0.639022,0.244285,0.62,0.5
4535,'2025/11/05 13:12:01:533',27,0.639119,0.24401,0.62,0.5
4536,'2025/11/05 13:12:01:574',27,0.638706,0.243382,0.62,0.5
4537,'2025/11/05 13:12:01:615',27,0.638558,0.243289,0.62,0.5
4538,'2025/11/05 13:12:01:656',27,0.638462,0.243969,0.62,0.5
4539,'2025/11/05 13:12:01:697',27,0.638276,0.243697,0.62,0.5
4540,'2025/11/05 13:12:01:738',27,0.638157,0.24348,0.62,0.5
4541,'2025/11/05 13:12:01:779',27,0.637441,0.243633,0.62,0.5
4542,'2025/11/05 13:12:01:821',27,0.637711,0.243959,0.62,0.5
4543,'2025/11/05 13:12:01:861',27,0.637799,0.243994,0.62,0.5
4544,'2025/11/05 13:12:01:903',27,0.637483,0.243745,0.62,0.5
4545,'2025/11/05 13:12:01:943',27,0.637896,0.243856,0.62,0.5
4546,'2025/11/05 13:12:02:026',27,0.637581,0.24421,0.62,0.5
4547,'2025/11/05 13:12:02:066',27,0.637836,0.243819,0.62,0.5
4548,'2025/11/05 13:12:02:106',27,0.637924,0.243969,0.62,0.5
4549,'2025/11/05 13:12:02:148',27,0.637962,0.244399,0.62,0.5
4550,'2025/11/05 13:12:02:186',27,0.63756,0.243546,0.62,0.5
4551,'2025/11/05 13:12:02:230',27,0.637849,0.244278,0.62,0.5
4552,'2025/11/05 13:12:02:271',27,0.637779,0.244219,0.62,0.5
4553,'2025/11/05 13:12:02:313',27,0.63798,0.243664,0.62,0.5
4554,'2025/11/05 13:12:02:354',27,0.637734,0.243978,0.62,0.5
4555,'2025/11/05 13:12:02:391',27,0.63783,0.243985,0.62,0.5
4556,'2025/11/05 13:12:02:436',27,0.637906,0.244013,0.62,0.5
4557,'2025/11/05 13:12:02:477',27,0.638063,0.244049,0.62,0.5
4558,'2025/11/05 13:12:02:518',27,0.63803,0.244026,0.62,0.5
4559,'2025/11/05 13:12:02:559',27,0.638267,0.243994,0.62,0.5
4560,'2025/11/05 13:12:02:641',27,0.638157,0.243585,0.62,0.5
4561,'2025/11/05 13:12:02:681',27,0.638236,0.243967,0.62,0.5
4562,'2025/11/05 13:12:02:720',27,0.638041,0.243871,0.62,0.5
4563,'2025/11/05 13:12:02:764',27,0.637988,0.243896,0.62,0.5
4564,'2025/11/05 13:12:02:804',27,0.638066,0.244013,0.62,0.5
4565,'2025/11/05 13:12:02:845',27,0.638133,0.244183,0.62,0.5
4566,'2025/11/05 13:12:02:886',27,0.638201,0.244086,0.62,0.5
4567,'2025/11/05 13:12:02:928',27,0.638187,0.244095,0.62,0.5
4568,'2025/11/05 13:12:02:968',27,0.63869,0.244555,0.62,0.5
4569,'2025/11/05 13:12:03:011',27,0.638356,0.244026,0.62,0.5
4570,'2025/11/05 13:12:03:051',27,0.638632,0.244133,0.62,0.5
4571,'2025/11/05 13:12:03:091',27,0.638458,0.243829,0.62,0.5
4572,'2025/11/05 13:12:03:134',27,0.638637,0.244879,0.62,0.5
4573,'2025/11/05 13:12:03:215',27,0.638448,0.244476,0.62,0.5
4574,'2025/11/05 13:12:03:258',27,0.638251,0.245047,0.62,0.5
4575,'2025/11/05 13:12:03:297',27,0.63863,0.245465,0.62,0.5
4576,'2025/11/05 13:12:03:337',27,0.638354,0.245458,0.62,0.5
4577,'2025/11/05 13:12:03:376',27,0.638014,0.245572,0.62,0.5
4578,'2025/11/05 13:12:03:421',27,0.637991,0.245471,0.62,0.5
4579,'2025/11/05 13:12:03:460',27,0.638014,0.246015,0.62,0.5
4580,'2025/11/05 13:12:03:502',27,0.638225,0.245413,0.62,0.5
4581,'2025/11/05 13:12:03:543',27,0.637982,0.245813,0.62,0.5
4582,'2025/11/05 13:12:03:585',27,0.638067,0.245537,0.62,0.5
4583,'2025/11/05 13:12:03:625',27,0.638071,0.245388,0.62,0.5
4584,'2025/11/05 13:12:03:666',27,0.638186,0.245832,0.62,0.5
4585,'2025/11/05 13:12:03:705',27,0.638147,0.245612,0.62,0.5
4586,'2025/11/05 13:12:03:745',27,0.638093,0.246024,0.62,0.5
4587,'2025/11/05 13:12:03:831',27,0.637902,0.245688,0.62,0.5
4588,'2025/11/05 13:12:03:871',27,0.63793,0.245951,0.62,0.5
4589,'2025/11/05 13:12:03:911',27,0.637639,0.24639,0.62,0.5
4590,'2025/11/05 13:12:03:952',27,0.637749,0.24597,0.62,0.5
4591,'2025/11/05 13:12:03:993',27,0.637874,0.246078,0.62,0.5
4592,'2025/11/05 13:12:04:035',27,0.637406,0.246827,0.62,0.5
4593,'2025/11/05 13:12:04:074',27,0.637476,0.246523,0.62,0.5
4594,'2025/11/05 13:12:04:116',27,0.637554,0.246269,0.62,0.5
4595,'2025/11/05 13:12:04:158',27,0.637412,0.246481,0.62,0.5
4596,'2025/11/05 13:12:04:198',27,0.637539,0.246313,0.62,0.5
4597,'2025/11/05 13:12:04:240',27,0.63765,0.246315,0.62,0.5
4598,'2025/11/05 13:12:04:281',27,0.637709,0.246599,0.62,0.5
4599,'2025/11/05 13:12:04:322',27,0.637753,0.247043,0.62,0.5
4600,'2025/11/05 13:12:04:363',27,0.637485,0.246228,0.62,0.5
4601,'2025/11/05 13:12:04:446',27,0.637464,0.246392,0.62,0.5
4602,'2025/11/05 13:12:04:485',27,0.637595,0.246254,0.62,0.5
4603,'2025/11/05 13:12:04:527',27,0.637642,0.246084,0.62,0.5
4604,'2025/11/05 13:12:04:567',27,0.637589,0.245981,0.62,0.5
4605,'2025/11/05 13:12:04:609',27,0.637862,0.245976,0.62,0.5
4606,'2025/11/05 13:12:04:649',27,0.638317,0.245925,0.62,0.5
4607,'2025/11/05 13:12:04:690',27,0.638076,0.246015,0.62,0.5
4608,'2025/11/05 13:12:04:731',27,0.638184,0.245531,0.62,0.5
4609,'2025/11/05 13:12:04:773',27,0.638146,0.245851,0.62,0.5
4610,'2025/11/05 13:12:04:814',27,0.638073,0.245603,0.62,0.5
4611,'2025/11/05 13:12:04:854',27,0.638089,0.245411,0.62,0.5
4612,'2025/11/05 13:12:04:895',27,0.638327,0.245378,0.62,0.5
4613,'2025/11/05 13:12:04:939',27,0.638191,0.245052,0.62,0.5
4614,'2025/11/05 13:12:04:977',27,0.638307,0.245711,0.62,0.5
4615,'2025/11/05 13:12:05:061',27,0.638513,0.245416,0.62,0.5
4616,'2025/11/05 13:12:05:100',27,0.638173,0.245847,0.62,0.5
4617,'2025/11/05 13:12:05:141',27,0.638197,0.245578,0.62,0.5
4618,'2025/11/05 13:12:05:181',27,0.638422,0.245361,0.62,0.5
